protocol_id,stage,motor,controller,policy_id,eta,rep,trial_seed,ic_protocol,plant_parameter,plant_factor
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,2,62800002,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,3,62800003,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,4,62800004,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,5,62800005,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,6,62800006,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,7,62800007,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,8,62800008,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,9,62800009,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,10,62800010,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,11,62800011,seeded_ic_v1,nominal,1.0
nominal_m2_boundary_localization_v1,coarse_localization,2,cem,cem_tuned_qplite_m2,0.502000,12,62800012,seeded_ic_v1,nominal,1.0
